"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"77","1_1_f1540","verb","clause","ing","adjunct","_","bare","_",0.9,1543,"KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"84","1_1_f1540","verb","N","and","root","_","bare","_",0.1,1543,"KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"123","100_82_f1600","verb","N","ing","adjunct","_","bare","_",0.4,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"128","100_82_f1600","verb","N","ing","adjunct","_","bare","_",0.4,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"135","100_82_f1600","verb","clause","ing","root","_","bare","_",0.5,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"155","100_82_f1600","verb","PP","ing","adjunct","_","bare","_",0.5,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"161","100_82_f1600","verb","N","ing","root","_","bare","adv",0.6,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"179","101_83_f1600","noun","PP","ing","Pcomp","_","pos","_",0.2,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"196","101_83_f1600","noun","clause","ing","obj","_","indef","_",0.5,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"219","101_83_f1600","noun","none","ing","Pcomp","_","bare","_",0.8,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"246","101_83_f1600","verb","N","ing","adjunct","_","bare","_",0.14,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"248","101_83_f1600","noun","no","ing","Pcomp","_","bare","_",0.14,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"272","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.3,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"296","102_84_f1600","verb","N","ing","adjunct","_","bare","_",0.7,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"370","102_84_f1600","noun","PP","ing","Pcomp","_","det","_",0.21,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"381","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.22,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"398","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.25,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"401","102_84_f1600","verb","N","ing","root","_","bare","adv",0.26,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"405","102_84_f1600","verb","clause","ing","root","_","bare","_",0.28,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"429","103_85_f1600","verb","clause","ing","root","_","bare","_",0.3,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"452","103_85_f1600","noun","none","ing","adj-comp","_","det","_",0.9,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"470","103_85_f1600","noun","none","ing","obj","_","bare","_",0.13,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"482","104_86_f1600","verb","clause","ing","adjunct","_","bare","_",0.2,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"543","104_86_f1600","hybrid","PP","ing","Pcomp","_","pos","_",0.7,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"552","104_86_f1600","verb","N","ing","root","_","bare","_",0.8,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"584","104_86_f1600","verb","N","ing","adjunct","_","bare","_",0.14,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"589","104_86_f1600","noun","PP","ing","Pcomp","_","pos","_",0.14,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"639","105_87_f1600","verb","PP","ing","conj","_","bare","neg",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"655","105_87_f1600","verb","adjp","ing","adjunct","_","bare","_",0.8,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"675","105_87_f1600","verb","N","ing","root","_","bare","adv",0.11,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"680","105_87_f1600","verb","N","ing","root","_","bare","_",0.12,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"712","106_88_f1600","verb","PP","ing","adjunct","_","bare","_",0.2,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"733","106_88_f1600","verb","clause","ing","adjunct","_","bare","_",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"736","106_88_f1600","verb","N","ing","adjunct","_","bare","_",0.5,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"766","106_88_f1600","verb","clause","ing","adjunct","_","bare","_",0.1,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"787","106_88_f1600","verb","N","ing","root","_","bare","adv",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"790","106_88_f1600","verb","N","ing","Pcomp","_","bare","_",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"796","106_88_f1600","noun","none","ing","sbj","_","pos","_",0.16,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"798","106_88_f1600","verb","N","ing","root","_","bare","_",0.17,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"839","107_89_f1600","verb","clause","ing","root","_","bare","adv",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"860","107_89_f1600","noun","none","ing","Pcomp","_","bare","_",0.1,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"878","107_89_f1600","noun","none","ing","adj-comp","_","det","_",0.13,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"881","107_89_f1600","verb","N","ing","root","_","bare","_",0.14,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"889","107_89_f1600","verb","N","ing","root","_","bare","_",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"892","107_89_f1600","verb","N","ing","root","_","bare","_",0.16,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"928","108_90_f1600","verb","clause","ing","adjunct","modal","bare","_",0.2,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"931","108_90_f1600","verb","clause","ing","adjunct","_","bare","_",0.3,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"977","108_90_f1600","verb","N","ing","adjunct","_","bare","loc_temp",0.18,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"981","108_90_f1600","verb","clause","ing","adjunct","_","bare","adv",0.18,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"995","108_90_f1600","verb","PP","ing","adjunct","_","bare","adv",0.22,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1001","108_90_f1600","noun","none","ing","sbj","_","pos","_",0.23,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1018","109_91_f1600","verb","no","ing","adjunct","_","bare","_",0.2,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1033","109_91_f1600","verb","N","ing","root","_","bare","_",0.3,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1065","109_91_f1600","verb","N","ing","root","_","bare","adv",0.9,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1077","109_91_f1600","verb","N","ing","root","_","bare","adv",0.11,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1082","109_91_f1600","verb","N","ing","root","_","bare","_",0.12,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"1140","110_92_f1600","verb","N","ing","root","_","bare","adv",0.11,1630,"LiliasMurrayofTullibardine,LadyGrant","female","Central","Perthshire","unspecified","unspecified"
"1173","1106_1_m1650","noun","none","ing","obj","_","det","_",0.6,1666,"AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
"1176","1106_1_m1650","noun","PPof","ing","conj","_","det","_",0.6,1666,"AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
"1180","1106_1_m1650","noun","none","ing","sbj","_","det","_",0.7,1666,"AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
"1181","1106_1_m1650","noun","PPof","ing","obj","_","det","_",0.7,1666,"AlexanderCunningham,10thEarlofGlencairn","male","South-West","Ayrshire","Finlaster","unspecified"
"1201","1107_2_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1650,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Tantallon","unspecified"
"1220","1107_2_m1650","verb","none","ing","adjunct","_","bare","_",0.6,1650,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Tantallon","unspecified"
"1245","1107_2_m1650","noun","none","ing","Pcomp","_","det","_",0.9,1650,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Tantallon","unspecified"
"1269","1108_3_m1650","noun","PP","ing","Pcomp","_","pos","_",0.3,1651,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Stirling","unspecified"
"1275","1108_3_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1651,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Stirling","unspecified"
"1309","1108_3_m1650","verb","adjp","ing","adjunct","_","bare","_",0.7,1651,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Stirling","unspecified"
"1384","1108_3_m1650","verb","N","ing","conj","_","bare","_",0.15,1651,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Stirling","unspecified"
"1392","1108_3_m1650","verb","N","ing","adjunct","_","bare","_",0.15,1651,"ArchibaldDouglas,12thEarlofAngus","male","South-East","Lothian","Stirling","unspecified"
"1523","111_93_f1600","noun","none","ing","Pcomp","_","pos","loc_temp",0.6,1640,"MarieOgilvy,LadyGrantofFreuchie","female","North-East","Angus","unspecified","unspecified"
"1542","1110_5_m1650","hybrid","PP","ing","Pcomp","_","pos","loc_temp",0.2,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1546","1110_5_m1650","noun","none","ing","Pcomp","_","bare","_",0.2,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1548","1110_5_m1650","noun","PPof","ing","sbj","_","det","_",0.2,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1567","1110_5_m1650","verb","clause","ing","adjunct","_","bare","_",0.6,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1576","1110_5_m1650","verb","N","ing","Pcomp","_","bare","_",0.7,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1582","1110_5_m1650","verb","clause","ing","adjunct","_","bare","_",0.8,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1621","1110_5_m1650","verb","PP","ing","adjunct","_","bare","_",0.15,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1672","1110_5_m1650","verb","N","ing","Pcomp","_","bare","_",0.21,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1677","1110_5_m1650","verb","N","ing","Pcomp","_","bare","_",0.21,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1704","1110_5_m1650","verb","PP","ing","adjunct","modal","bare","_",0.28,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1719","1110_5_m1650","noun","none","ing","obj","_","det","_",0.31,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1730","1110_5_m1650","verb","PP","ing","adjunct","_","bare","_",0.33,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1756","1110_5_m1650","verb","clause","ing","adjunct","_","bare","_",0.37,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1848","1110_5_m1650","verb","clause","ing","adjunct","_","bare","_",0.52,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1853","1110_5_m1650","verb","PP","ing","Pcomp","_","bare","neg",0.52,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1855","1110_5_m1650","verb","N","ing","conj","modal","bare","_",0.53,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1857","1110_5_m1650","verb","clause","ing","adjunct","_","bare","_",0.53,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1915","1110_5_m1650","verb","PP","ing","adjunct","_","bare","neg",0.57,1650,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","unspecified","unspecified"
"1928","1111_6_m1650","verb","clause","ing","adjunct","_","bare","_",0.3,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2000","1111_6_m1650","verb","PP","ing","adjunct","_","bare","_",0.11,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2054","1112_7_m1650","noun","none","ing","obj","_","bare","_",0.4,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2071","1112_7_m1650","verb","clause","ing","adjunct","_","bare","_",0.8,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2081","1112_7_m1650","verb","PP","ing","adjunct","_","bare","_",0.11,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2086","1112_7_m1650","verb","N","ing","adjunct","_","bare","_",0.12,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2109","1112_7_m1650","verb","N","ing","adjunct","_","bare","_",0.15,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2134","1112_7_m1650","verb","N","ing","adjunct","_","bare","_",0.19,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2181","1112_7_m1650","verb","no","ing","adjunct","modal","bare","adv",0.27,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2208","1112_7_m1650","verb","clause","ing","adjunct","_","bare","adv",0.33,1655,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2334","1113_8_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2418","1113_8_m1650","verb","clause","ing","adjunct","_","bare","_",0.18,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2443","1113_8_m1650","verb","N","ing","adjunct","_","bare","_",0.21,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2534","1113_8_m1650","verb","PP","ing","adjunct","_","bare","_",0.38,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2549","1113_8_m1650","verb","clause","ing","adjunct","_","bare","_",0.4,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2566","1113_8_m1650","verb","N","ing","adjunct","_","bare","_",0.43,1656,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2628","1114_9_m1650","hybrid","PP","ing","Pcomp","_","pos","adv",0.5,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2703","1114_9_m1650","verb","clause","ing","adjunct","_","bare","_",0.1,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2761","1114_9_m1650","verb","N","ing","adjunct","_","bare","_",0.15,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2771","1114_9_m1650","noun","no","ing","Pcomp","_","pos","_",0.15,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2798","1115_10_m1650","hybrid","N","ing","Pcomp","_","pos","_",0.2,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2809","1115_10_m1650","verb","none","ing","adjunct","_","bare","_",0.3,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2811","1115_10_m1650","noun","no","ing","Pcomp","_","pos","loc_temp",0.3,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2843","1115_10_m1650","verb","clause","ing","adjunct","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2846","1115_10_m1650","verb","clause","ing","adjunct","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2864","1115_10_m1650","verb","clause","ing","adjunct","_","bare","_",0.5,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"2999","1115_10_m1650","verb","clause","ing","Pcomp","_","bare","_",0.2,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3033","1116_11_m1650","noun","PPof","ing","Pcomp","_","det","_",0.2,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3063","1116_11_m1650","verb","clause","ing","adjunct","_","bare","_",0.8,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3074","1116_11_m1650","verb","clause","ing","adjunct","_","bare","_",0.11,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3129","1117_12_m1650","verb","none","ing","adjunct","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3159","1117_12_m1650","verb","N","ing","adjunct","_","bare","_",0.8,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3198","1118_13_m1650","verb","clause","ing","adjunct","_","bare","_",0.3,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3202","1118_13_m1650","verb","N","ing","Pcomp","_","bare","_",0.3,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3217","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3219","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3222","1118_13_m1650","verb","N","other","Pcomp","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3236","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.6,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3275","1118_13_m1650","verb","clause","ing","adjunct","_","bare","_",0.13,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3290","1118_13_m1650","verb","clause","ing","adjunct","_","bare","_",0.16,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3408","1118_13_m1650","verb","PP","ing","adjunct","_","bare","_",0.29,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3454","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3457","1118_13_m1650","verb","clause","ing","conj","_","bare","_",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3469","1118_13_m1650","verb","N","ing","adjunct","modal","bare","loc_temp",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3474","1118_13_m1650","verb","clause","ing","conj","_","bare","_",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3476","1118_13_m1650","noun","no","ing","Pcomp","_","bare","loc_temp",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3482","1118_13_m1650","verb","clause","ing","adjunct","_","bare","_",0.36,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3503","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.38,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3531","1118_13_m1650","verb","N","ing","Pcomp","_","bare","_",0.4,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3554","1118_13_m1650","verb","N","ing","adjunct","_","bare","_",0.42,1660,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Dunrobin","unspecified"
"3569","1119_14_m1650","verb","PP","ing","adjunct","modal","bare","_",0.2,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3627","1119_14_m1650","verb","clause","ing","adjunct","_","bare","_",0.7,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3637","1119_14_m1650","hybrid","PP","ing","sbj","_","pos","loc_temp",0.9,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3676","1119_14_m1650","verb","N","ing","adjunct","_","bare","_",0.13,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3678","1119_14_m1650","verb","clause","ing","adjunct","_","bare","_",0.14,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3679","1119_14_m1650","verb","clause","ing","adjunct","_","bare","_",0.14,1663,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Uppat","unspecified"
"3788","1120_15_m1650","verb","N","ing","adjunct","_","bare","_",0.9,1671,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"3877","1120_15_m1650","verb","none","ing","Pcomp","_","bare","neg",0.3,1671,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"3944","1121_16_m1650","noun","PPof","ing","Pcomp","_","det","_",0.8,1671,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"3953","1121_16_m1650","noun","PP","ing","Pcomp","_","pos","_",0.9,1671,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4013","1121_16_m1650","verb","clause","ing","adjunct","_","bare","_",0.18,1671,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4127","1122_17_m1650","verb","clause","ing","adjunct","_","bare","_",0.5,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4151","1122_17_m1650","verb","clause","ing","conj","modal","bare","_",0.7,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4153","1122_17_m1650","verb","N","ing","conj","_","bare","_",0.7,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4165","1122_17_m1650","verb","PP","ing","adjunct","_","bare","_",0.8,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4202","1122_17_m1650","verb","clause","ing","adjunct","_","bare","_",0.15,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4222","1122_17_m1650","verb","N","ing","adjunct","_","bare","_",0.18,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4248","1122_17_m1650","verb","clause","ing","adjunct","_","bare","_",0.22,1678,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","London","unspecified"
"4278","1123_18_m1650","verb","N","ing","Pcomp","_","bare","_",0.3,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Epsum","unspecified"
"4378","1124_19_m1650","verb","PP","ing","adjunct","_","bare","_",0.5,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4380","1124_19_m1650","hybrid","clause","ing","Pcomp","_","pos","_",0.5,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4414","1124_19_m1650","noun","none","ing","sbj","_","pos","_",0.9,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4458","1124_19_m1650","verb","N","ing","conj","_","bare","neg",0.18,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4460","1124_19_m1650","verb","PP","ing","conj","_","bare","_",0.18,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4586","1125_20_m1650","noun","PP","ing","Pcomp","_","bare","_",0.12,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4587","1125_20_m1650","verb","PP","ing","adjunct","_","bare","_",0.12,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4612","1125_20_m1650","verb","clause","ing","adjunct","_","bare","_",0.19,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4617","1125_20_m1650","hybrid","no","ing","sbj","_","pos","loc_temp",0.19,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4636","1125_20_m1650","verb","PP","ing","adjunct","_","bare","_",0.23,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4639","1125_20_m1650","noun","PPof","ing","Pcomp","_","det","_",0.24,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
"4653","1125_20_m1650","noun","PPof","ing","obj","_","pos","_",0.27,1679,"JohnGordon,14thEarlofSutherland","male","North","Sutherland","Edinburgh","unspecified"
