"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"15399","1232_127_m1650","verb","clause","ing","adjunct","_","bare","_",0.15,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15506","1233_128_m1650","verb","none","ing","adjunct","_","bare","_",0.12,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15508","1233_128_m1650","noun","PPof","ing","Pcomp","_","det","_",0.12,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15561","1234_129_m1650","noun","PPof","ing","Pcomp","_","det","_",0.4,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15616","1235_130_m1650","verb","clause","ing","adjunct","_","bare","_",0.2,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15653","1235_130_m1650","noun","PPof","ing","obj","_","det","_",0.8,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15771","1236_131_m1650","verb","N","ing","Pcomp","_","bare","_",0.3,1666,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15839","1237_132_m1650","noun","none","ing","obj","_","det","_",0.3,1673,"JamesCalder","male","North","Moray","Elgin","unspecified"
"15851","1237_132_m1650","hybrid","PP","ing","obj","_","pos","loc_temp",0.5,1673,"JamesCalder","male","North","Moray","Elgin","unspecified"
"15890","1238_133_m1650","verb","N","ing","adjunct","_","bare","_",0.5,1698,"PatrickCampbellofBarcaldine,writerinEdinburgh","male","Unspecified","Unspecified","Ardchattan","Professional"
"15969","1238_133_m1650","verb","PP","ing","adjunct","_","bare","_",0.2,1698,"PatrickCampbellofBarcaldine,writerinEdinburgh","male","Unspecified","Unspecified","Ardchattan","Professional"
"16007","1239_134_m1650","verb","N","ing","Pcomp","_","bare","_",0.3,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16029","1239_134_m1650","verb","clause","ing","adjunct","_","bare","_",0.5,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16040","1239_134_m1650","noun","clause","ing","sbj","_","pos","_",0.6,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16050","1239_134_m1650","verb","clause","ing","adjunct","_","bare","_",0.6,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16068","1239_134_m1650","verb","PP","ing","Pcomp","_","bare","_",0.8,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16078","1239_134_m1650","verb","PP","ing","adjunct","_","bare","_",0.9,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16112","1239_134_m1650","verb","N","ing","conj","_","bare","_",0.13,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16114","1239_134_m1650","verb","PP","ing","conj","_","bare","_",0.13,1698,"DougalCampbell","male","South-West","Argyllshire","Ardmaddy","unspecified"
"16125","124_106_f1600","verb","N","ing","adjunct","_","bare","adv",0.2,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"16139","124_106_f1600","verb","adjp","ing","root","_","bare","_",0.4,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"16169","1240_135_m1650","verb","none","ing","adjunct","_","bare","_",0.3,1670,"GeorgeCampbell","male","South-West","Argyllshire","Drimsynie","unspecified"
"16221","1240_135_m1650","verb","clause","ing","adjunct","_","bare","_",0.9,1670,"GeorgeCampbell","male","South-West","Argyllshire","Drimsynie","unspecified"
"16224","1240_135_m1650","verb","clause","ing","adjunct","_","bare","_",0.1,1670,"GeorgeCampbell","male","South-West","Argyllshire","Drimsynie","unspecified"
"16315","1241_136_m1650","verb","PP","ing","adjunct","_","bare","_",0.15,1695,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16348","1242_137_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1698,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16375","1242_137_m1650","hybrid","N","ing","Pcomp","_","pos","adv",0.8,1698,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16419","1242_137_m1650","verb","N","other","adjunct","_","bare","_",0.13,1698,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16421","1242_137_m1650","verb","N","ing","Pcomp","_","bare","_",0.13,1698,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16449","1242_137_m1650","noun","none","ing","Pcomp","_","bare","_",0.16,1698,"JohnCampbellofMamore","male","South-West","Argyllshire","Inveraray","unspecified"
"16489","1243_138_m1650","noun","none","ing","Pcomp","_","det","_",0.3,1661,"DavidCarnegieofCraig","male","North-East","Angus","Craig","unspecified"
"16490","1243_138_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1661,"DavidCarnegieofCraig","male","North-East","Angus","Craig","unspecified"
"16492","1243_138_m1650","hybrid","no","ing","sbj","_","pos","loc_temp",0.3,1661,"DavidCarnegieofCraig","male","North-East","Angus","Craig","unspecified"
"16554","1243_138_m1650","noun","none","ing","obj","_","bare","_",0.11,1661,"DavidCarnegieofCraig","male","North-East","Angus","Craig","unspecified"
"16582","1244_139_m1650","verb","clause","ing","adjunct","_","bare","_",0.3,1682,"JamesChalmer","male","North","Moray","Dunrobin","unspecified"
"16597","1244_139_m1650","noun","none","ing","Pcomp","_","det","_",0.5,1682,"JamesChalmer","male","North","Moray","Dunrobin","unspecified"
"16613","1244_139_m1650","noun","none","ing","Pcomp","_","det","_",0.6,1682,"JamesChalmer","male","North","Moray","Dunrobin","unspecified"
"16627","1244_139_m1650","verb","clause","ing","adjunct","_","bare","_",0.11,1682,"JamesChalmer","male","North","Moray","Dunrobin","unspecified"
"16720","1245_140_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16741","1245_140_m1650","verb","PP","ing","adjunct","_","bare","_",0.12,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16782","1245_140_m1650","verb","N","ing","adjunct","_","bare","_",0.21,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16844","1246_141_m1650","verb","none","other","conj","_","bare","_",0.6,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16872","1246_141_m1650","verb","none","ing","Pcomp","_","bare","_",0.1,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16908","1246_141_m1650","noun","PP","ing","Pcomp","_","det","_",0.18,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"16921","1246_141_m1650","verb","N","ing","adjunct","_","bare","_",0.22,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17012","1247_142_m1650","verb","N","ing","adjunct","_","bare","_",0.18,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17066","1248_143_m1650","noun","none","ing","obj","_","indef","_",0.7,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17071","1248_143_m1650","verb","N","ing","root","_","bare","_",0.8,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17074","1248_143_m1650","verb","clause","ing","adjunct","_","bare","neg",0.8,1687,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17126","1249_144_m1650","verb","N","ing","adjunct","_","bare","_",0.14,1688,"JamesChalmer","male","North","Moray","Gordonstoun","unspecified"
"17139","125_107_f1600","noun","PP","ing","Pcomp","_","pos","_",0.3,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17164","125_107_f1600","noun","PPof","ing","obj","_","det","_",0.6,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17197","125_107_f1600","noun","none","ing","Pcomp","_","pos","_",0.11,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17210","125_107_f1600","verb","N","ing","root","_","bare","_",0.14,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17223","125_107_f1600","noun","PPof","ing","obj","_","det","_",0.17,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17244","1250_145_m1650","verb","none","ing","adjunct","_","bare","_",0.3,1695,"WilliamCochrane","male","South-West","South-West","Paisley","unspecified"
"17254","1250_145_m1650","verb","clause","ing","adjunct","_","bare","_",0.5,1695,"WilliamCochrane","male","South-West","South-West","Paisley","unspecified"
"17257","1250_145_m1650","verb","PP","ing","Pcomp","_","bare","_",0.5,1695,"WilliamCochrane","male","South-West","South-West","Paisley","unspecified"
"17290","1251_146_m1650","verb","clause","ing","adjunct","_","bare","_",0.3,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17311","1251_146_m1650","verb","N","ing","Pcomp","_","bare","_",0.5,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17320","1251_146_m1650","noun","PP","ing","Pcomp","_","pos","_",0.5,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17324","1251_146_m1650","verb","N","ing","adjunct","_","bare","_",0.5,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17331","1251_146_m1650","verb","N","ing","adjunct","_","bare","_",0.5,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17361","1251_146_m1650","verb","PP","ing","adjunct","_","bare","loc_temp",0.8,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17363","1251_146_m1650","verb","N","ing","Pcomp","_","bare","neg",0.8,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17367","1251_146_m1650","verb","clause","ing","adjunct","_","bare","_",0.8,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17373","1251_146_m1650","verb","clause","ing","adjunct","_","bare","_",0.9,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17395","1252_147_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17401","1252_147_m1650","verb","N","ing","adjunct","_","bare","adv",0.3,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17404","1252_147_m1650","verb","N","ing","Pcomp","_","bare","neg",0.3,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17408","1252_147_m1650","verb","clause","ing","adjunct","_","bare","_",0.4,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17411","1252_147_m1650","verb","PP","other","adjunct","_","bare","_",0.4,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17432","1252_147_m1650","verb","N","ing","adjunct","_","bare","_",0.8,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17517","1253_148_m1650","verb","none","other","adjunct","_","bare","_",0.15,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17534","1253_148_m1650","verb","PP","ing","adjunct","_","bare","_",0.18,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17536","1253_148_m1650","verb","N","ing","Pcomp","_","bare","_",0.18,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17539","1253_148_m1650","verb","N","ing","conj","_","bare","_",0.18,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17541","1253_148_m1650","verb","N","ing","conj","_","bare","_",0.18,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17569","1253_148_m1650","noun","none","ing","Pcomp","_","pos","_",0.25,1675,"RobertCummingofAltyre","male","North-East","Aberdeenshire","Altyre","unspecified"
"17583","1254_149_m1650","verb","N","ing","adjunct","_","bare","_",0.3,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17585","1254_149_m1650","verb","PP","ing","Pcomp","_","bare","_",0.3,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17591","1254_149_m1650","verb","clause","ing","conj","modal","bare","neg",0.4,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17594","1254_149_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17600","1254_149_m1650","verb","clause","ing","adjunct","_","bare","_",0.4,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17603","1254_149_m1650","verb","N","ing","Pcomp","_","bare","_",0.4,1671,"AlexanderCunninghamofCraigends","male","South-West","Ayrshire","Pokelly","unspecified"
"17664","1255_150_m1650","noun","none","ing","obj","_","det","_",0.2,1679,"JCunningham","male","South-West","Ayrshire","Dumbarton","unspecified"
"17752","126_108_f1600","verb","N","ing","root","_","bare","_",0.11,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17786","127_109_f1600","verb","N","ing","adjunct","_","bare","_",0.9,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"17793","127_109_f1600","verb","N","ing","root","_","bare","_",0.12,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"17820","128_110_f1600","verb","clause","ing","adjunct","_","bare","_",0.3,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17841","128_110_f1600","noun","none","ing","obj","_","indef","_",0.1,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17843","128_110_f1600","noun","PPof","ing","Pcomp","_","bare","_",0.1,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17857","128_110_f1600","verb","PP","ing","Pcomp","_","bare","loc_temp",0.12,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17895","128_110_f1600","noun","none","ing","Pcomp","_","bare","_",0.22,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"17903","128_110_f1600","verb","N","ing","adjunct","_","bare","_",0.26,1600,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
